title,Bag_of_words
The Da Vinci Code, fiction mystery danbrown isbn 9780307277671 moved edition paris harvard symbologist robert langdon awakened phone call dead night elderly curator louvre murdered inside museum body covered baffling symbol gifted french cryptologist sophie neveu sort bizarre riddle stunned discover
Jane Eyre, classics fiction charlottebrontë sylvèremonod orphaned child jane felt outcast whole young life courage tested arrives thornfield hall hired brooding proud edward rochester care ward adèle find drawn troubled yet kind spirit fall love hard terrifying secret inside gloomy forbiddin
Memoirs of a Geisha, fiction historical arthurgolden literary sensation runaway bestseller brilliant debut novel present seamless authenticity exquisite lyricism true confession one japan celebrated geisha memoir enter world appearance paramount girl virginity auctioned highest bidder woman trained beguile pow
Alice's Adventures in Wonderland / Through the Looking-Glass," classics fantasy lewiscarroll johntenniel (illustrator) martingardner (introduction) explain afraid sir ,"" said alice see see white rabbit take watch waistcoat pocket decides follow sequence unusual event set motion mini book contains entire topsy turvy story adventure wonderland looking glass accompanie"
Fahrenheit 451, classics fiction raybradbury sixty year original publication ray bradbury ’ internationally acclaimed novel fahrenheit 451 stand classic world literature set bleak dystopian future today message grown relevant ever guy montag fireman job destroy illegal commodity printed book along house ar
The Perks of Being a Wallflower, youngadult fiction stephenchbosky standing fringe life ... offer unique perspective come time seewhat look like dance floor haunting novel dilemma passivity v passion mark stunning debut provocative new voice contemporary fiction perk wallflowerthis story grow high school inti
Divergent," youngadult sciencefiction veronicaroth beatrice prior dystopian chicago world society divided five faction dedicated cultivation particular virtue — candor honest ), abnegation selfless dauntless brave amity peaceful erudite intelligent ). appointed day every year sixteen old must select faction devote"
Harry Potter and the Sorcerer's Stone, fantasy fiction j.k.rowling harry potter life miserable parent dead stuck heartless relative force live tiny closet stair fortune change receives letter tell truth wizard mysterious visitor rescue take new home hogwarts school witchcraft
Lord of the Flies, classics fiction williamgolding dawn next world war plane crash uncharted island stranding group schoolboy first adult supervision freedom something celebrate far civilization boy anything want attempt forge society failing however face terror sin evil order collaps
Crime and Punishment, classics fiction fyodordostoevsky davidmcduff (translator) raskolnikov destitute desperate former student wanders slum st petersburg commits random murder without remorse regret imago great man napoleon acting higher purpose beyond conventional moral law embarks dangerous game cat mouse suspicious police investigator pur
Romeo and Juliet, classics plays williamshakespeare paulwerstine (editor) barbaraa.mowat (editor) romeo juliet shakespeare creates violent world two young people fall love simply family disapprove montagues capulets engaged blood feud death filled setting movement first sight lover ’ final union seems almost inevitable yet play set extraordina
The Little Prince," classics fiction antoinedesaint-exupéry richardhoward (translator) pilot stranded desert awakes one morning see standing extraordinary little fellow please ,"" asks stranger draw sheep ."" realizes life event difficult understand choice succumb mystery pull pencil paper ... thus begin wise enchanting fa"
City of Bones, youngadult fantasy cassandraclare fifteen year old clary fray head pandemonium club new york city hardly expects witness murder ― much le committed three teenager covered strange tattoo brandishing bizarre weapon body disappears thin air hard call police murderer invisible everyone else
The Help, fiction historical kathrynstockett three ordinary woman take one extraordinary step twenty two year old skeeter returned home graduating ole miss may degree 1962 mississippi mother happy till ring finger would normally find solace beloved maid constantine woman raised consta
Anne of Green Gables, classics fiction l.m.montgomery heartwarming story beckoned generation reader special world green gable old fashioned farm outside town called avonlea anne shirley eleven year orphan arrived verdant corner prince edward island discover cuthberts — elderly matthew stern sister marilla want adopt boy feisty redhea
Ender's Game, sciencefiction youngadult orsonscottcard andrew ender wiggin think playing computer simulated war game fact engaged something far desperate result genetic experimentation may military genius earth desperately need alien enemy seeking destroy human life way find throw ever harsher training chip awa
Charlotte's Web," classics childrens e.b.white garthwilliams (illustrator) rosemarywells (illustrations) beloved book e b white author stuart little trumpet swan classic child literature perfect ."" high quality paperback feature vibrant illustration colorized rosemary well pig humble radiant word charlotte web zuckerman barn spiderweb tell fe"
Of Mice and Men, classics fiction johnsteinbeck intimate portrait two men cherish slim bond dream share world marred petty tyranny misunderstanding jealousy callousness clinging loneliness alienation george simple minded friend lennie drifter place call — couple acre pig chicken
The Lightning Thief, fantasy youngadult rickriordan alternate cover isbn found herepercy jackson good kid seem focus schoolwork control temper lately away boarding school getting worse percy could sworn pre algebra teacher turned monster tried kill mom find know time knew truth ab
The Time Traveler's Wife, fiction romance audreyniffenegger funny often poignant tale boy meet girl twist one stop slipping time highly original imaginative debut novel raise question life love effect relationship audrey niffenegger ’ innovative traveler wife story clare beautiful art student henry
Dracula," classics horror bramstoker ninaauerbach (editor) davidj.skal (editor) find alternative cover edition isbn rich selection background source material provided three area context includes probable inspiration dracula earlier work james malcolm rymer emily gerard also included discussion stoker working note novel guest ,"" original open"
Brave New World, classics fiction aldoushuxley brave new world dystopian novel english author aldous huxley written 1931 published 1932 largely set futuristic state inhabited genetically modified citizen intelligence based social hierarchy anticipates huge scientific advancement reproductive technology sleep learning psychological manipulation classical co
One Hundred Years of Solitude," fiction classics gabrielgarcíamárquez gregoryrabassa (translator) seçkinselvi (translator) brilliant bestselling landmark novel tell story buendia family chronicle irreconcilable conflict desire solitude need love — rich imaginative prose come define entire genre known magical realism ."""
The Catcher in the Rye, classics fiction j.d.salinger hero narrator catcher rye ancient child sixteen native new yorker named holden caulfield circumstance tend preclude adult secondhand description leaf prep school pennsylvania go underground york city three day boy simple complex u make final comme
The Princess Bride, fantasy fiction williamgoldman happens beautiful girl world marries handsomest prince time turn ... well lot le man dream boy william goldman claim loved hear father read morgenstern classic princess bride grown discovered boring part left good old dad recitat
A Thousand Splendid Suns, fiction historical khaledhosseini thousand splendid sun breathtaking story set volatile event afghanistan last thirty year soviet invasion reign taliban post rebuilding put violence fear hope faith country intimate human term tale two generation character brought jarringly together tragic
The Secret Garden, classics fiction franceshodgsonburnett one delightful enduring classic child literature secret garden victorian author france hodgson burnett remained firm favorite world ever since made first appearance initially published serial story 1910 american magazine brought novel form 1911 plot center round
The Alchemist, fiction classics paulocoelho alanr.clarke (translator) กอบชลีและกันเกรา (ผู้แปล) paulo coelho masterpiece tell mystical story santiago andalusian shepherd boy yearns travel search worldly treasure quest lead rich far different satisfying listening heart recognizing opportunity learning read omen strewn along life path importantly follow dream
A Game of Thrones, fantasy fiction georger.r.martin first volume george r martin ’ magnificent cycle novel includes clash king storm sword whole series comprises genuine masterpiece modern fantasy bringing together best genre offer magic mystery intrigue romance adventure fill page transport u world unlike ever
A Wrinkle in Time, fantasy fiction madeleinel'engle dark stormy night wild strange visitor come murry house beckons meg brother charles wallace friend calvin keefe dangerous extraordinary adventure — one threaten life universe winner 1963 newbery medal wrinkle time first book madeleine l engle classi
The Outsiders," classics youngadult s.e.hinton outsider two week life 14 year old boy novel tell story ponyboy curtis struggle right wrong society belief outsider according kind people world greaser socs soc short social "") money get away anything h"
The Adventures of Huckleberry Finn, classics fiction marktwain guycardwell (notes) johnseelye (introduction) waltertrier (ilustrator) marktwain victorfischer (editor) linsalamo (editor) harriete.smith (editor) walterblair (editor) nineteenth century boy mississippi river town recount adventure travel runaway slave encountering family involved feud two scoundrel pretending royalty tom sawyer aunt mistake
The Lovely Bones, fiction mystery alicesebold name salmon like fish first susie fourteen murdered december 6 1973 begin story adjusting new home heaven place expected even watching life earth continue without -- friend trading rumor disappearance killer trying co
The Odyssey, classics fiction homer robertfagles (translator) bernardknox (introduction) sing man muse twist turnsdriven time course plunderedthe hallowed height troy begin robert fagles magnificent translation odyssey iliad world greatest war epic literature grandest evocation everyman journey though life odysseus reliance wit wil
Where the Wild Things Are, childrens childrens mauricesendak max wild naughty boy sent bed without supper exhausted mother room imago sailing far away land thing instead eating make king
Green Eggs and Ham, childrens childrens dr.seuss “ like green egg ham ?” asks sam beginner book dr seuss house mouse boat goat train tree keep asking persistently unmistakable character signature rhyme ’ beloved favorite cemented place child classic famous cumulative tale list
Life of Pi, fiction fantasy yannmartel life pi fantasy adventure novel yann martel published 2001 protagonist piscine molitor patel tamil boy pondicherry explores issue spirituality practicality early age survives 227 day shipwreck stranded boat pacific ocean bengal tiger named richard parker
A Tale of Two Cities, classics fiction charlesdickens richardmaxwell (editor/introduction) tale two city charles dickens ’ great historical novel set violent upheaval french revolution famous perhaps popular work compress event immense complexity scale family history cast character includes bloodthirsty ogress antihero believably flawed mod
Water for Elephants, fiction historical saragruen winner 2007 bookbrowse award popular book atmospheric gritty compelling novel star crossed lover set circus world circa 1932 bestselling author riding lesson jacob jankowski recently orphaned suddenly adrift jump onto passing train enters freak drifter misfit second rate strug
Lolita, classics fiction vladimirnabokov craigraine (afterword) librarian note alternate cover edition isbn 9780141182537 humbert scholar aesthete romantic fallen completely utterly love dolores haze landlady gum snapping silky skinned twelve year old daughter reluctantly agreeing marry mr close lolita suffers greatly pursuit romance lo
The Kite Runner, fiction historical khaledhosseini unforgettable heartbreaking story unlikely friendship wealthy boy son father ’ servant kite runner beautifully crafted novel set country process destroyed power reading price betrayal possibility redemption exploration father
Frankenstein: The 1818 Text, classics fiction marywollstonecraftshelley charlottegordon (introduction) previously published edition isbn 9780143131847 mary shelley seminal novel scientist whose creation becomes monsterthis original 1818 text preserve hard hitting politically charged aspect writing well unflinching wit strong female voice also includes new introductio
Slaughterhouse-Five, classics fiction kurtvonnegutjr. selected modern library one 100 best novel time slaughterhouse five american classic world great antiwar book centering infamous firebombing dresden billy pilgrim odyssey reflects mythic journey fractured life search meaning fear
The Handmaid's Tale, fiction classics margaretatwood offred handmaid republic gilead may leave home commander wife day walk food market whose sign picture instead word woman longer allowed read must lie back month pray make pregnant age declining birth ha
The Giver, youngadult fiction loislowry giver 1994 newbery medal winner become one influential novel time haunting story center twelve year old jonas life seemingly ideal colorless world conformity contentment given life assignment receiver memory begin understand dark complex secret behind fragi
Little Women, classics fiction louisamayalcott generation reader young old male female fallen love march sister louisa may alcott ’ popular enduring novel little woman talented tomboy author jo tragically frail beth beautiful meg romantic spoiled amy united devotion struggle survive new england
Dune, sciencefiction fiction frankherbert set desert planet arrakis dune story boy paul atreides heir noble family tasked ruling inhospitable world thing value “ spice ” melange drug capable extending life enhancing consciousness coveted across known universe prize worth killing ... house betrayed destru
Harry Potter and the Deathly Hallows, fantasy youngadult j.k.rowling longer safe harry hogwarts best friend ron hermione run professor dumbledore given clue need defeat dark wizard lord voldemort figure hint suggestion really mean cross country odyssey searching desperately f
1984, classics fiction georgeorwell among seminal text 20th century nineteen eighty four rare work grows haunting futuristic purgatory becomes real published 1949 book offer political satirist george orwell nightmarish vision totalitarian bureaucratic world one poor stiff attempt find individuality brilliance novel pre
The Pillars of the Earth, historical historicalfiction kenfollett ken follett known worldwide master split second suspense beloved bestselling book tell magnificent tale twelfth century monk driven seemingly impossible build greatest gothic cathedral world ever everything reader expect intrigue fast paced action passionate romance
The Stand, horror fiction stephenking berniewrightson (illustrator) man escape biological testing facility set motion deadly domino effect spreading mutated strain flu wipe 99 percent humanity within week survivor remain scared bewildered need leader two emerge – mother abagail benevolent 108 year old woman urge build peaceful communit
Watership Down, classics fiction richardadams librarian note see alternate cover edition isbn13 9780380395866 set england down idyllic rural landscape stirring tale adventure courage survival follows band special creature flight intrusion man certain destruction home led stouthearted pair friend journey forth
The Adventures of Sherlock Holmes," classics mystery arthurconandoyle adventure sherlock holmes series short story made fortune strand magazine first published immense popularity dr watson detective height power volume full famous case including red headed league ', blue carbuncle speckled band"
Great Expectations," classics fiction charlesdickens charlesgreen markoxford (editor) samngo f.w.pailthorpe may dickens best novel humble orphaned pip apprenticed dirty work forge dare dream becoming gentleman — one day sudden enigmatic circumstance find possession great expectation ."" gripping tale crime guilt revenge reward compelling character include magwitch fear"
The Bell Jar, classics fiction sylviaplath bell jar chronicle crack esther greenwood brilliant beautiful enormously talented successful slowly going — maybe last time sylvia plath masterfully draw reader breakdown intensity insanity becomes completely real even rational probable accessible experience
Matilda, childrens fiction roalddahl quentinblake (illustrator) matilda little girl far good true age five half knocking double digit multiplication problem blitz reading dickens even remarkably classmate love though super nerd teacher pet everything perfect world starter two idiotic self centered pa
Anna Karenina, classics fiction leotolstoy constancegarnett (translator) aylmermaude (translator) louisemaude (translator) dmitriybutko (translator) georgegibian (preface) acclaimed many world greatest novel anna karenina provides vast panorama contemporary life russia humanity general tolstoy us intense imaginative insight create memorable character literature sophisticated woman abandon empty existence wife karenin turn count vr
One Flew Over the Cuckoo's Nest, classics fiction kenkesey tyrannical nurse ratched rule ward oregon state mental hospital strict unbending routine unopposed patient remain cowed mind numbing medication threat electric shock therapy regime disrupted arrival mcmurphy – swaggering fun loving trickster devilish grin resolve oppose
The Fellowship of the Ring, fantasy classics j.r.r.tolkien one ring rule find bring darkeness bind themin ancient time ring power crafted elven smith sauron dark lord forged filling could others taken though sought throughout middle earth
The Girl with the Dragon Tattoo, fiction mystery stieglarsson regkeeland (translator) harriet vanger scion one sweden ’ wealthiest family disappeared forty year ago later aged uncle continues seek truth hire mikael blomkvist crusading journalist recently trapped libel conviction investigate aided pierced tattooed punk prodigy lisbeth salander together tap vein u
Outlander, historical historicalfiction dianagabaldon year 1945 claire randall former combat nurse back war reunited husband second honeymoon walk standing stone one ancient circle dot british isle suddenly sassenach — “ outlander ”— scotland torn raiding border clan lord ... 1743 hurled
My Sister's Keeper, fiction contemporary jodipicoult new york time best selling author jodi picoult widely acclaimed keen insight heart mind real people tell emotionally riveting story family torn apart conflicting need passionate love triumph human weakness anna sick might well age 13 undergone countless surgery tran
Rebecca, classics fiction daphnedumaurier last night dreamt went manderley novel begin monte carlo heroine swept foot dashing widower maxim de winter sudden proposal marriage orphaned working lady maid barely believe luck arrive massive country estate realizes large shadow late
The Color Purple, classics fiction alicewalker winner pulitzer prize national book award alice walker iconic modern classic penguin powerful cultural touchstone american literature color purple depicts life african woman early twentieth century rural georgia separated girl sister celie nettie sustain loyalty hope
Harry Potter and the Prisoner of Azkaban, fantasy youngadult j.k.rowling marygrandpré (illustrator) twelve long year dread fortress azkaban held infamous prisoner named sirius black convicted killing thirteen people single curse said heir apparent dark lord voldemort escaped leaving two clue might headed harry potter defeat know downfall well azk
A Tree Grows in Brooklyn, classics fiction bettysmith beloved american classic young girl coming age turn century betty smith tree grows brooklyn poignant moving tale filled compassion cruelty laughter heartache crowded life people incident story sensitive idealistic francie nolan bittersweet formative year slum
The Brothers Karamazov, classics fiction fyodordostoevsky richardpevear (translator) martarebón (translator) larissavolokhonsky (translator) fernandootero (translator) martasánchez-nieves (translator) brother karamazov murder mystery courtroom drama exploration erotic rivalry series triangular love affair involving “ wicked sentimental ” fyodor pavlovich three son ― impulsive sensual dmitri coldly rational ivan healthy red cheeked young novice alyosha gripping event sto
A Clockwork Orange, classics fiction anthonyburgess anthony burgess influential nightmare vision future criminal take dark teen gang leader alex narrates fantastically inventive slang echo violent intensity youth rebelling society dazzling transgressive clockwork orange frightening fable good evil meaning human freedom edition include
The Road, fiction sciencefiction cormacmccarthy searing postapocalyptic novel destined become cormac mccarthy ’ masterpiece father son walk alone burned america nothing move ravaged landscape save ash wind cold enough crack stone snow fall gray sky dark destination coast although know anything awaits
Angela's Ashes, nonfiction autobiography frankmccourt imbued every page frank mccourt astounding humor compassion glorious book bear mark classic look back childhood wonder managed survive course miserable happy hardly worth worse ordinary irish child
Siddhartha, classics fiction hermannhesse lêchucầu (translator) herman hesse classic novel delighted inspired influenced generation reader writer thinker story wealthy indian brahmin cast life privilege seek spiritual fulfillment synthesizes disparate philosophy -- eastern religion jungian archetype western individualism unique vision expressed throug
Vampire Academy, youngadult fantasy richellemead true best friend protect immortal enemy ... lissa dragomir moroi princess mortal vampire rare gift harnessing earth magic must protected time strigoi fiercest vampire — one never die powerful blend human blood flow rose hathaway make
The Poisonwood Bible, fiction historical barbarakingsolver poisonwood bible story told wife four daughter nathan price fierce evangelical baptist take family mission belgian congo 1959 carry everything believe need home soon find -- garden seed scripture calamitously transformed african soil follows
Don Quixote, novels historical migueldecervantessaavedra johnrutherford (translator) franciscorodríguezmarín joseramonmelida johngibsonlockhart robertogonzálezechevarría (introduction) peteranthonymotteux (translator) quixote become entranced reading chivalric romance determines knight errant company faithful squire sancho panza exploit blossom sort wonderful way fancy often lead astray — tilt windmill imagining giant acquires cunning certain sagacity sane
Atlas Shrugged, fiction classics aynrand leonardpeikoff (introduction) jandevoogt (translator) story man said would stop motor world destroyer greatest liberator fight battle enemy needed hardest woman loved ’ — motive power every know answer
The Old Man and the Sea, classics fiction ernesthemingway librarian note alternate cover edition found herethis short novel already modern classic superbly told tragic story cuban fisherman gulf stream giant marlin kill loses — specifically referred citation accompanying author nobel prize literature 1954
The Notebook, romance fiction nicholassparks set amid austere beauty north carolina coast begin story noah calhoun rural southerner recently returned second world war restoring plantation home former glory haunted image beautiful girl met fourteen year earlier loved like unable find yet unwilling forget summ
The Complete Stories and Poems, classics poetry edgarallanpoe single volume brings together poe story poem illuminates diverse multifaceted genius one greatest influential figure american literary history
Interview with the Vampire, horror fantasy annerice story louis told word journey mortal immortal life recount became vampire hand radiant sinister lestat indoctrinated unwillingly way ebb flow street new orleans defining crucial moment discovery
A Prayer for Owen Meany, fiction classics johnirving eleven year old owen meany playing little league baseball game gravesend new hampshire hit foul ball kill best friend mother believe accident belief god instrument happens 1953 extraordinary terrifying moment comic self deluded victim end principal tr
"Moby-Dick or, the Whale"," classics fiction hermanmelville andrewdelbanco (introduction) tomquirk (notes) rockwellkent (illustrator) horrible texture fabric woven ship cable hawser polar wind blow bird prey hover ."" melville wrote masterpiece one greatest work imagination literary history part moby dick story eerily compelling madman pursuing unholy war creature vast da"
Harry Potter and the Goblet of Fire, fantasy youngadult j.k.rowling marygrandpré (illustrator) harry potter midway training wizard coming age want get away pernicious dursleys go international quidditch cup hermione ron weasleys dream cho chang crush maybe ). find mysterious event supposed take place hogwa
Harry Potter and the Half-Blood Prince, fantasy youngadult j.k.rowling war voldemort going well even muggle government noticing ron scan obituary page daily prophet looking familiar name dumbledore absent hogwarts long stretch time order phoenix already suffered loss yet war life go weasley twin expand business sixth yea
The Secret Life of Bees," fiction historical suemonkkidd set south carolina 1964 secret life bee tell story lily owen whose shaped around blurred memory afternoon mother killed fierce hearted black stand ,"" rosaleen insult three deepest racist town decides spring free escape tiburon -- th"
Clockwork Angel, fantasy youngadult cassandraclare time shadowhunters barely winning fight force darkness one battle change course history forever welcome infernal device trilogy stunning dangerous prequel new york time bestselling mortal instrument series year 1878 tessa gray descends london ’ dark supernatural underworld search
The Red Tent, historical historicalfiction anitadiamant name dinah bible life hinted brief violent detour within familiar chapter book genesis father jacob dozen son told voice novel reveals tradition turmoil ancient womanhood — world red tent begin story mother leah rachel zi
And Then There Were None, mystery fiction agathachristie first ten — curious assortment stranger summoned weekend guest little private island coast devon host eccentric millionaire unknown nowhere found common wicked past unwilling reveal secret seal fate marked murder
The Stranger," classics fiction albertcamus matthewward (translator) story ordinary man unwittingly drawn senseless murder algerian beach camus explored termed nakedness faced absurd ."" first published english 1946 new translation matthew ward"
The Shining, horror fiction stephenking jack torrance new job overlook hotel perfect chance fresh start season caretaker atmospheric old plenty time spend reconnecting family working writing harsh winter weather set idyllic location feel ever remote ... sinister one notice
The Name of the Wind, fantasy fiction patrickrothfuss told kvothe voice tale magically gifted young man grows notorious wizard world ever seen intimate narrative childhood troupe traveling player year spent near feral orphan crime ridden city daringly brazen yet successful bid enter legendary school magic life
Middlesex, fiction historical jeffreyeugenides middlesex tell breathtaking story calliope stephanides three generation greek american family travel tiny village overlooking mount olympus asia minor prohibition era detroit witnessing glory day motor city race riot 1967 moving tree lined street suburban grosse pointe michig
Eragon, fantasy youngadult christopherpaolini alternate cover edition isbn 9780375826696 found one boy ... dragon world adventure eragon find polished blue stone forest think lucky discovery poor farm perhaps buy family meat winter brings hatchling soon realizes stumbled upon legacy ne
The Master and Margarita, classics fiction mikhailbulgakov katherinetiernano'connor (translator) hansfronius (illustrator) dianalewisburgin (translator) ellendeaproffer (annotations/afterword) first complete annotated english translation mikhail bulgakov comic masterpiece audacious revision story faust pontius pilate master margarita recognized one essential classic modern russian literature novel vision soviet life 1930s ferociously accurate could published
The Adventures of Tom Sawyer, classics fiction marktwain guycardwell (annotations) ivankušan (translator) johnseelye (introduction) adventure tom sawyer revolves around youthful novel schoolboy protagonist thomas whose reputation precedes causing mischief strife life aunt polly half brother sid cousin mary quaint town st petersburg shore mississippi river described typical
Flowers for Algernon, fiction classics danielkeyes story mentally disabled man whose experimental quest intelligence mirror algernon extraordinary lab mouse diary entry charlie tell brain operation increase iq change life procedure take effect expands surpasses doctor engineered metamorphosis
Charlie and the Chocolate Factory, childrens fiction roalddahl quentinblake (illustrations) charlie bucket wonderful adventure begin find one mr willy wonka precious golden ticket win whole day inside mysterious chocolate factory little know surprise store back cover
The Metamorphosis, classics fiction franzkafka stanleycorngold (translator) alternate cover edition isbn 0553213695 9780553213690 gregor samsa awoke one morning uneasy dream found transformed bed gigantic insect laying hard armor plated back lifted head little could see domelike brown belly divided stiff arched segment top quilt co
Harry Potter and the Chamber of Secrets, fantasy youngadult j.k.rowling marygrandpré (illustrator) ویدااسلامیه (translator) ever since harry potter come home summer dursleys mean hideous wanted get back hogwarts school witchcraft wizardry ’ packing bag receives warning strange impish creature say return disaster strike
Looking for Alaska, youngadult fiction johngreen mile “ pudge ” halter done safe life home whole one big non event obsession famous last word made crave great perhaps even francois rabelais poet ). head sometimes crazy anything boring world culver creek boarding school becomes opposite bec
The Curious Incident of the Dog in the Night-Time, fiction mystery markhaddon christopher john francis boone know country world capital every prime number 7 057 relates well animal understanding human emotion cannot stand touched detests color yellow improbable story ’ quest investigate suspicious death neighborhood dog make one
The Shadow of the Wind, fiction historical carlosruizzafón luciagraves (translator) barcelona 1945 city slowly heals war wound daniel antiquarian book dealer son mourns loss mother find solace mysterious entitled shadow wind one julian carax set find author work make shocking discovery someone systematically destroying every copy
On the Road," classics fiction jackkerouac quintessential novel america beat generation road chronicle jack kerouac year traveling n american continent friend neal cassady sideburned hero snowy west ."" sal paradise dean moriarty ,"" two roam country quest self knowledge experience love compassion humanity sense la"
Tuesdays with Morrie, nonfiction autobiography mitchalbom maybe grandparent teacher colleague someone older patient wise understood young searching gave sound advice help make way mitch albom person morrie schwartz college professor nearly twenty year ago like lost track mentor made
The Unbearable Lightness of Being, fiction classics milankundera michaelhenryheim (translator) unbearable lightness milan kundera tell story young woman love man torn incorrigible womanizing one mistress humbly faithful lover magnificent novel juxtaposes geographically distant place brilliant playful reflection variety style take place perhap
The Name of the Rose, fiction historical umbertoeco williamweaver (translator) year 1327 benedictine wealthy italian abbey suspected heresy brother william baskerville arrives investigate delicate mission suddenly overshadowed seven bizarre death turn detective tool logic aristotle theology aquinas empirical insight roger bacon — sharpened glis
Where the Red Fern Grows, classics fiction wilsonrawls loving threesome ranged dark hill river bottom cherokee country old dan brawn little ann brain billy make finest hunting team valley glory victory coming sadness waited red fern grows exciting tale love adventure never forget
The Godfather, fiction classics mariopuzo robertthompson (introduction) peterbart (afterword) godfather — epic tale crime betrayal became global phenomenon almost fifty year ago classic born searing portrayal mafia underworld introduced reader first family american fiction corleones powerful legacy tradition blood honor seduction power pitfall greed
In Cold Blood, nonfiction classics trumancapote november 15 1959 small town holcomb kansa four member clutter family savagely murdered blast shotgun held inch face apparent motive crime almost clue truman capote reconstructs murder investigation led capture trial execution kill
The Scarlet Letter, classics fiction nathanielhawthorne thomase.connolly (annotations) ninabaym (introduction) set 17th century puritan boston massachusetts year 1642 1649 tell story hester prynne conceives daughter affair reveal lover ’ identity scarlet letter adultery wear clothes along public shaming punishment sin secrecy struggle create
Fight Club," fiction classics chuckpalahniuk chuck palahniuk showed generation ’ visionary satirist first book fight club estranged narrator leaf lackluster job come thrall tyler durden enigmatic young man hold secret hour boxing match basement bar two men long ."" gloriously origi"
The Count of Monte Cristo, classics fiction alexandredumas robinbuss (translator) thrown prison crime committed edmond dante confined grim fortress learns great hoard treasure hidden isle monte cristo becomes determined escape also unearth use plot destruction three men responsible incarceration duma ’ epic tale suff
The Last Olympian, fantasy youngadult rickriordan year half blood preparing battle titan knowing odds victory grim kronos army stronger ever every god blood recruit evil titan power grows olympian struggle contain rampaging monster typhon begin advance new york city mount olympus stand vi
The Five People You Meet in Heaven, fiction inspirational mitchalbom author phenomenal 1 new york time bestseller tuesday morrie novel explores unexpected connection life idea heaven place answer eddie wounded war veteran old man lived mind uninspired life job fixing ride seaside amusement park 83rd birthday
"The Lion, the Witch and the Wardrobe", fantasy classics c.s.lewis narnia … land beyond wardrobe door secret place frozen eternal winter magical country waiting set free lucy first find professor mysterious old house brother sister believe tell visit soon edmund peter susan step
It, horror fiction stephenking welcome derry maine ... ’ small city place hauntingly familiar hometown haunting real seven teenager first stumbled upon horror grown men woman gone big world gain success happiness none withstand force drawn back
Perfume: The Story of a Murderer, fiction classics patricksüskind johne.woods (translator) acclaimed bestseller international sensation patrick suskind classic novel provokes terrifying examination happens one man indulgence greatest passion — sense smell lead murder slum eighteenth century france infant jean baptiste grenouille born sublime gift absolute boy life
